epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.2087,1.86204,2.44045,1.29732,0.64928,0.37598,0.39308,0.19521,1.68258,1.67961,1.26972,0.000368809,0.000368809,0.000368809
2,98.0632,1.68763,1.59934,1.2062,0.68298,0.43115,0.45451,0.23323,1.61116,1.46235,1.21627,0.000731825,0.000731825,0.000731825
3,144.285,1.65116,1.46928,1.20092,0.69616,0.4387,0.46392,0.22811,1.68006,1.44597,1.22427,0.00108751,0.00108751,0.00108751
4,190.204,1.63139,1.38883,1.18605,0.74876,0.47446,0.51115,0.26129,1.61836,1.28772,1.20971,0.001078,0.001078,0.001078
5,237.014,1.6052,1.32775,1.17375,0.7514,0.50278,0.5492,0.27725,1.56002,1.28706,1.18736,0.001067,0.001067,0.001067
6,283.376,1.59467,1.28607,1.17337,0.74033,0.48796,0.52701,0.27229,1.58484,1.25616,1.18569,0.00105601,0.00105601,0.00105601
7,329.595,1.58889,1.25442,1.16595,0.61005,0.50562,0.54753,0.27628,1.58398,1.26951,1.22065,0.00104501,0.00104501,0.00104501
8,376.017,1.57047,1.23444,1.15733,0.57969,0.47816,0.54071,0.28545,1.5545,1.23846,1.17589,0.00103401,0.00103401,0.00103401
9,422.056,1.55532,1.19761,1.15114,0.77158,0.4841,0.54451,0.28599,1.5817,1.24557,1.21016,0.00102301,0.00102301,0.00102301
10,468.611,1.54475,1.16901,1.14401,0.56893,0.59472,0.58602,0.30695,1.55822,1.25266,1.18472,0.00101201,0.00101201,0.00101201
11,514.767,1.55113,1.15245,1.14798,0.69833,0.5117,0.58809,0.32327,1.52774,1.13589,1.16062,0.00100101,0.00100101,0.00100101
12,560.329,1.53211,1.13529,1.13814,0.69786,0.58271,0.60988,0.32437,1.54153,1.12468,1.17634,0.000990012,0.000990012,0.000990012
13,606.226,1.54113,1.13502,1.13605,0.6717,0.54719,0.61743,0.33346,1.52311,1.10422,1.1691,0.000979013,0.000979013,0.000979013
14,652.617,1.51469,1.11516,1.13597,0.67191,0.59823,0.63551,0.3493,1.50026,1.11497,1.14513,0.000968014,0.000968014,0.000968014
15,698.909,1.51423,1.10443,1.12709,0.66203,0.53687,0.61842,0.33758,1.52826,1.07146,1.14827,0.000957015,0.000957015,0.000957015
16,745.363,1.5114,1.09368,1.13151,0.79504,0.50976,0.61701,0.33482,1.53381,1.12985,1.16233,0.000946016,0.000946016,0.000946016
17,791.612,1.50394,1.07876,1.12715,0.56107,0.62937,0.61108,0.33106,1.51742,1.05793,1.14338,0.000935018,0.000935018,0.000935018
18,837.922,1.50087,1.08138,1.12612,0.69076,0.55038,0.63812,0.35164,1.49524,1.06954,1.13538,0.000924019,0.000924019,0.000924019
19,884.347,1.48953,1.04552,1.11472,0.69257,0.57732,0.65624,0.35782,1.50516,1.05012,1.14989,0.00091302,0.00091302,0.00091302
20,930.227,1.49595,1.04756,1.12084,0.65002,0.5717,0.6267,0.34982,1.48262,1.01787,1.136,0.000902021,0.000902021,0.000902021
21,976.441,1.4824,1.01632,1.10968,0.6627,0.60334,0.64744,0.36166,1.49403,1.05733,1.14406,0.000891022,0.000891022,0.000891022
22,1022.9,1.47474,1.02808,1.11096,0.62968,0.63322,0.67279,0.36279,1.50299,1.00937,1.15513,0.000880023,0.000880023,0.000880023
23,1068.79,1.47319,1.01927,1.11516,0.65021,0.59043,0.65622,0.36085,1.49806,1.00636,1.13514,0.000869024,0.000869024,0.000869024
24,1114.83,1.46932,1.00948,1.109,0.6698,0.60263,0.64999,0.35659,1.48119,1.01182,1.13339,0.000858025,0.000858025,0.000858025
25,1160.74,1.4631,0.99907,1.10595,0.58801,0.6898,0.66129,0.35699,1.49634,1.032,1.14312,0.000847026,0.000847026,0.000847026
26,1207.11,1.46156,0.99425,1.106,0.64371,0.66806,0.6728,0.36893,1.4874,1.00455,1.14752,0.000836027,0.000836027,0.000836027
27,1252.68,1.44438,0.97641,1.09993,0.6625,0.61991,0.67756,0.37037,1.49298,0.97728,1.13434,0.000825029,0.000825029,0.000825029
28,1298.41,1.44918,0.97171,1.10186,0.65786,0.65531,0.66577,0.3693,1.48146,0.96673,1.13891,0.00081403,0.00081403,0.00081403
29,1343.62,1.44457,0.95908,1.09536,0.56538,0.70181,0.66986,0.36881,1.50065,0.97065,1.14395,0.000803031,0.000803031,0.000803031
30,1389.47,1.45027,0.95824,1.10046,0.71617,0.60692,0.67824,0.37805,1.48129,0.97944,1.14226,0.000792032,0.000792032,0.000792032
31,1435.54,1.43938,0.95165,1.10221,0.63719,0.60468,0.65558,0.36615,1.49261,0.95502,1.14989,0.000781033,0.000781033,0.000781033
