epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.352,1.71596,1.66669,1.3211,0.74445,0.38624,0.44532,0.22802,1.66821,1.45769,1.30461,0.000368809,0.000368809,0.000368809
2,267.375,1.64611,1.2878,1.27318,0.70721,0.38255,0.42152,0.21585,1.68404,1.45272,1.36622,0.000724508,0.000724508,0.000724508
3,398.597,1.63569,1.26549,1.28437,0.72267,0.45446,0.4792,0.24488,1.67298,1.36807,1.35935,0.00106554,0.00106554,0.00106554
4,529.49,1.6293,1.23887,1.26616,0.75014,0.41788,0.46974,0.25048,1.63085,1.422,1.32782,0.00104501,0.00104501,0.00104501
5,659.962,1.58368,1.20091,1.25688,0.76237,0.44094,0.50128,0.26519,1.62676,1.31124,1.33261,0.00102301,0.00102301,0.00102301
6,791.21,1.55904,1.14053,1.23455,0.77572,0.46339,0.52206,0.28483,1.57301,1.25074,1.29194,0.00100101,0.00100101,0.00100101
7,922.258,1.54134,1.11298,1.2318,0.7855,0.43928,0.50725,0.27225,1.59117,1.35952,1.30211,0.000979013,0.000979013,0.000979013
8,1053.18,1.52662,1.07428,1.22029,0.79144,0.45557,0.52646,0.28517,1.57455,1.247,1.29746,0.000957015,0.000957015,0.000957015
9,1184.55,1.51655,1.06849,1.21295,0.76853,0.47391,0.53568,0.29622,1.56197,1.25484,1.29167,0.000935018,0.000935018,0.000935018
10,1315.95,1.48791,1.02607,1.19926,0.80706,0.48949,0.55661,0.3053,1.57271,1.15457,1.3082,0.00091302,0.00091302,0.00091302
11,1446.36,1.48385,1.01765,1.19822,0.79123,0.47303,0.55288,0.30482,1.5385,1.22772,1.27465,0.000891022,0.000891022,0.000891022
12,1576.39,1.4672,0.99114,1.19153,0.59004,0.46985,0.533,0.29462,1.5717,1.27335,1.29219,0.000869024,0.000869024,0.000869024
13,1706.57,1.45499,0.97452,1.18689,0.6976,0.49524,0.58286,0.32515,1.54639,1.1803,1.28767,0.000847026,0.000847026,0.000847026
14,1836.76,1.44992,0.96958,1.18496,0.80144,0.50561,0.5947,0.33716,1.54509,1.09452,1.27743,0.000825029,0.000825029,0.000825029
15,1967.59,1.44064,0.94802,1.17988,0.80438,0.4932,0.58001,0.31706,1.58922,1.14704,1.3084,0.000803031,0.000803031,0.000803031
16,2098.32,1.43667,0.93945,1.17469,0.80524,0.50354,0.58295,0.32659,1.51082,1.13271,1.26112,0.000781033,0.000781033,0.000781033
17,2228.76,1.41086,0.90862,1.16383,0.79417,0.51983,0.59152,0.33519,1.50364,1.12739,1.26041,0.000759035,0.000759035,0.000759035
18,2359.33,1.41176,0.9062,1.16533,0.57568,0.59082,0.589,0.33104,1.53463,1.06725,1.2711,0.000737037,0.000737037,0.000737037
19,2490.03,1.39738,0.89392,1.1643,0.81573,0.53362,0.62658,0.3508,1.52529,1.06008,1.28057,0.00071504,0.00071504,0.00071504
20,2620.19,1.39145,0.88422,1.15666,0.59747,0.57458,0.60014,0.33164,1.56443,1.14747,1.30075,0.000693042,0.000693042,0.000693042
21,2749.61,1.3846,0.87318,1.14844,0.62406,0.59041,0.6258,0.35835,1.49493,1.03994,1.2526,0.000671044,0.000671044,0.000671044
22,2879.23,1.38095,0.86003,1.14775,0.80732,0.5059,0.5907,0.32589,1.57056,1.08434,1.29614,0.000649046,0.000649046,0.000649046
23,3008.78,1.36724,0.8456,1.14562,0.67752,0.5629,0.62472,0.35997,1.51358,1.1763,1.27827,0.000627048,0.000627048,0.000627048
24,3139.33,1.35156,0.83355,1.13966,0.75825,0.5442,0.6443,0.36871,1.51599,1.06854,1.2638,0.000605051,0.000605051,0.000605051
25,3268.94,1.35038,0.81541,1.13424,0.80557,0.52155,0.60754,0.34273,1.53139,1.09875,1.27553,0.000583053,0.000583053,0.000583053
26,3397.99,1.34313,0.81265,1.13344,0.64477,0.60461,0.64859,0.36231,1.52606,1.02233,1.27449,0.000561055,0.000561055,0.000561055
27,3527.02,1.32083,0.78897,1.12271,0.75457,0.64887,0.71268,0.39199,1.53261,1.01089,1.28326,0.000539057,0.000539057,0.000539057
28,3656.33,1.32116,0.76854,1.11919,0.73021,0.52262,0.63359,0.36137,1.541,1.06945,1.28505,0.000517059,0.000517059,0.000517059
29,3785.54,1.31262,0.76659,1.11563,0.70587,0.59285,0.65708,0.36325,1.54708,1.03471,1.28312,0.000495062,0.000495062,0.000495062
30,3915.13,1.30357,0.74498,1.11176,0.68118,0.61992,0.65847,0.36529,1.55576,1.00698,1.2982,0.000473064,0.000473064,0.000473064
31,4044.51,1.28734,0.73776,1.11118,0.61686,0.6429,0.63824,0.36408,1.52189,1.05962,1.28852,0.000451066,0.000451066,0.000451066
32,4173.87,1.27773,0.72288,1.10129,0.74272,0.63287,0.70877,0.38092,1.54991,0.98947,1.28943,0.000429068,0.000429068,0.000429068
33,4303.2,1.27018,0.71599,1.10076,0.66529,0.61065,0.63951,0.35285,1.56128,1.03837,1.31326,0.00040707,0.00040707,0.00040707
34,4432.3,1.2566,0.70687,1.09594,0.69209,0.65663,0.68635,0.37024,1.53628,1.02672,1.28713,0.000385073,0.000385073,0.000385073
35,4561.56,1.24757,0.69594,1.09044,0.78467,0.58814,0.69424,0.39248,1.52868,0.99807,1.29188,0.000363075,0.000363075,0.000363075
36,4691.03,1.24796,0.68368,1.08473,0.66708,0.57355,0.65389,0.37326,1.53971,1.00735,1.30035,0.000341077,0.000341077,0.000341077
37,4820.07,1.22149,0.66381,1.07442,0.81377,0.58167,0.69901,0.38332,1.54617,1.02355,1.28887,0.000319079,0.000319079,0.000319079
38,4949.25,1.22843,0.66175,1.07729,0.63668,0.63018,0.65238,0.37582,1.57677,1.03762,1.32891,0.000297081,0.000297081,0.000297081
39,5078.14,1.20645,0.6478,1.07198,0.71467,0.63154,0.68554,0.37984,1.55164,1.01149,1.31344,0.000275084,0.000275084,0.000275084
40,5207.23,1.19128,0.63744,1.06415,0.77369,0.55822,0.69027,0.38221,1.55957,1.04423,1.30668,0.000253086,0.000253086,0.000253086
41,5338,1.19614,0.61606,1.0928,0.7701,0.58391,0.69331,0.38823,1.55721,0.95965,1.31968,0.000231088,0.000231088,0.000231088
42,5466.33,1.17367,0.58717,1.08251,0.75984,0.59982,0.69683,0.4016,1.53077,0.99413,1.28604,0.00020909,0.00020909,0.00020909
43,5594.72,1.15388,0.57232,1.06924,0.75388,0.5765,0.68542,0.39913,1.54338,1.03493,1.30263,0.000187092,0.000187092,0.000187092
44,5723.09,1.13899,0.55665,1.06916,0.76882,0.61816,0.70787,0.39788,1.56064,1.0031,1.32144,0.000165095,0.000165095,0.000165095
45,5852.7,1.13137,0.54711,1.06628,0.70985,0.6366,0.67293,0.38665,1.57248,1.03517,1.33949,0.000143097,0.000143097,0.000143097
46,5983.57,1.1191,0.5391,1.05519,0.6968,0.64574,0.68686,0.39237,1.57218,1.0271,1.34408,0.000121099,0.000121099,0.000121099
47,6114.18,1.10801,0.53311,1.0539,0.73213,0.5807,0.68355,0.39429,1.5645,1.02075,1.33831,9.91012e-05,9.91012e-05,9.91012e-05
48,6245.22,1.09526,0.52169,1.05135,0.7051,0.66811,0.72077,0.41438,1.55279,0.99399,1.32792,7.71034e-05,7.71034e-05,7.71034e-05
49,6375.64,1.08353,0.50804,1.04364,0.74742,0.61374,0.69473,0.40495,1.5554,1.00701,1.33194,5.51056e-05,5.51056e-05,5.51056e-05
50,6506.3,1.07514,0.50616,1.03861,0.782,0.60418,0.71506,0.40906,1.55991,1.00292,1.33374,3.31078e-05,3.31078e-05,3.31078e-05
